*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Mid 4
*Date=22:17:52
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
144;;;97.8154;-25.266;0;Bottom;Copper Fill23
145;;;115.345;-80.2327;0;Bottom;Via1
146;;;31.994;-50.1805;0;Bottom;Hole85
147;;;120.355;-80.1961;0;Bottom;TXT1
148;;;29.38;-41.3342;0;Bottom;Hole211
149;;;120.111;-42.8109;0;Bottom;TXT1
150;;;51.9144;-2.19219;0;Bottom;Hole58
151;;;119.979;-75.0136;0;Bottom;TXT1
152;;;37.133;-2.19219;0;Bottom;Hole47
153;;;101.091;-27.6903;0;Bottom;TXT1
154;;;105.638;-47.0434;90;Bottom;Part1
155;;;47.8222;-2.19219;0;Bottom;Hole55
156;;;40.5549;-2.19219;0;Bottom;Hole39
157;;;54.5602;-2.19219;0;Bottom;Hole60
158;;THT;44.7435;-19.7583;180;Bottom;J2
159;;;17.3228;-32.886;0;Bottom;Copper Fill16
160;;;120.321;-52.7914;0;Bottom;TXT1
161;;;53.1844;-2.19219;0;Bottom;Hole59
162;;;38.8607;-50.1805;0;Bottom;Hole87
163;;;42.5305;-2.19219;0;Bottom;Hole51
164;;;34.9438;-41.3342;0;Bottom;Hole209
165;;;36.0134;-50.1805;0;Bottom;Hole199
166;;THT;117.969;-69.0693;0;Bottom;I2C
167;;;120.317;-62.8272;0;Bottom;TXT1
168;;;91.783;-11.9041;0;Bottom;Hole188
169;;;52.5141;-2.19219;0;Bottom;Hole36
170;;;60.7822;-53.8028;0;Bottom;Copper Fill3
171;;;41.8955;-2.19219;0;Bottom;Hole34
172;;;53.8194;-2.19219;0;Bottom;Hole44
173;;;97.7138;-40.3916;0;Bottom;Copper Fill1
