*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Bottom
*Date=22:16:57
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
283;;;40.5351;-2.20051;0;Bottom;Hole242
284;;;49.822;-25.9644;0;Bottom;Copper Fill91
285;;;94.4503;-41.7396;0;Bottom;Via22
286;;;2.182;-2.18189;0;Bottom;Hole128
287;;;7.40411;-106.279;0;Bottom;Copper Fill96
288;;;70.0912;-94.9;0;Bottom;Copper Fill81
289;;;37.1132;-2.20051;0;Bottom;Hole222
290;;;75.3565;-16.4488;0;Bottom;Via48
291;;;59.6331;-14.6807;0;Bottom;Via62
292;;;120.316;-55.4622;0;Bottom;TXT1
293;;;71.2977;-91.344;0;Bottom;Copper Fill2
294;;;82.5585;-22.4785;0;Bottom;Via47
295;;;119.583;-95.2683;0;Bottom;Copper Fill112
296;;;13.9489;-22.9458;0;Bottom;Hole136
297;;;107.848;-82.6699;0;Bottom;Copper Fill63
298;;;13.9585;-26.8871;0;Bottom;Hole131
299;;;34.6084;-2.20051;0;Bottom;Hole224
300;;;117.894;-81.1332;0;Bottom;Copper Fill67
301;;;120.335;-37.7381;0;Bottom;TXT1
302;;;59.6899;-98.2147;0;Bottom;Copper Fill50
303;;;74.5192;-45.5919;0;Bottom;Via54
304;;;94.1069;-25.05;0;Bottom;Copper Fill76
305;220;THT;74.7431;-35.2461;0;Bottom;1KΩ
306;;;61.2901;-105.835;0;Bottom;Copper Fill102
307;;;81.7172;-106.447;0;Bottom;Via4
308;;;35.829;-11.9265;0;Bottom;Via67
309;;;78.5875;-85.2607;0;Bottom;Copper Fill85
310;;;89.377;-9.53183;0;Bottom;Hole146
311;;;13.9489;-24.498;0;Bottom;Hole139
312;;;5.28321;-67.4934;0;Bottom;Copper Fill4
313;;;96.2926;-45.2569;0;Bottom;Via24
314;;;13.9585;-28.297;0;Bottom;Hole130
315;;;1.07938;-8.73216;90;Bottom;TXT1
316;;;78.0362;-11.5915;0;Bottom;Via66
317;;;108.648;-83.4954;0;Bottom;Copper Fill103
318;;;120.32;-47.8532;0;Bottom;TXT1
319;;switch-spdt;3.83846;-75.4051;0;Bottom;VIN+
320;;;119.429;-2.18894;0;Bottom;Hole125
321;;;73.1319;-83.9492;90;Bottom;Part6
322;;;70.5865;-94.4047;0;Bottom;Copper Fill83
323;;;30.3148;-6.35557;0;Bottom;Copper Fill61
324;;;86.7219;-11.9169;0;Bottom;Hole103
325;;;62.1791;-58.9971;0;Bottom;Copper Fill80
